id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_emtsa_3_2_2_01_004_00051,3.2.2.01.004.00051,Serviço Consultoria,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00052,3.2.2.01.004.00052,Tradução,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00053,3.2.2.01.004.00053,Multas Infração,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00054,3.2.2.01.004.00054,Seguro patrimonial,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00055,3.2.2.01.004.00055,Serviços consultoria financeira,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00056,3.2.2.01.004.00056,Licenca de uso software,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00057,3.2.2.01.004.00057,Material aplicado prestação Serviços,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00058,3.2.2.01.004.00058,Manutenção imobilizado,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00059,3.2.2.01.004.00059,Despachantes,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00060,3.2.2.01.004.00060,Uber / Taxi,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00061,3.2.2.01.004.00061,Alarme,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00062,3.2.2.01.004.00062,Serviços administrativos,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00063,3.2.2.01.004.00063,Serviços de informática,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00064,3.2.2.01.004.00064,Licença de uso software,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_2_01_004_00065,3.2.2.01.004.00065,Perdas,,expense,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_3_2_3_01_001_00001,3.2.3.01.001.00001,Juros despesas bancárias,,expense,,l10n_br_coa_emtsa.account_template_emtsa
